slot,repo_name,repo_url,classification,status,notes
1,tamv-digital-nexus,https://github.com/OsoPanda1/tamv-digital-nexus,TAMV_REPO_CONFIRMED,DISCOVERED_LOCAL,Repositorio pivote de convergencia
2,digital-civilization-core,https://github.com/OsoPanda1/digital-civilization-core,TAMV_REPO_CONFIRMED,ABSORBED,Absorbido 2026-03-08 — orchestrator+sovereign-identity+sensory-gate portados
3,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
4,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
5,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
6,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
7,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
8,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
9,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
10,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
11,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
12,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
13,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
14,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
15,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
16,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
17,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
18,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
19,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
20,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
21,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
22,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
23,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
24,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
25,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
26,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
27,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
28,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
29,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
30,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
31,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
32,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
33,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
34,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
35,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
36,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
37,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
38,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
39,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
40,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
41,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
42,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
43,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
44,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
45,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
46,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
47,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
48,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
49,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
50,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
51,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
52,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
53,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
54,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
55,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
56,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
57,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
58,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
59,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
60,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
61,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
62,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
63,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
64,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
65,PENDING_DISCOVERY,https://github.com/OsoPanda1,UNCERTAIN_TAMV_REPO,PENDING_REMOTE_SCAN,Pendiente escaneo GitHub API
